taxon,Accession	
Hepacivirus hominis_JX183550,JX183550	
Hepacivirus hominis_JX183551,JX183551	
Hepacivirus hominis_JX183552,JX183552	
Hepacivirus hominis_JX183553,JX183553	
Hepacivirus hominis_JX183554,JX183554	
Hepacivirus hominis_JX183555,JX183555	
Hepacivirus hominis_JX183556,JX183556	
Hepacivirus hominis_JX183557,JX183557	
Hepacivirus hominis_JX183558,JX183558	
Hepatitis C virus subtype 3a_AB691595,AB691595	
Hepatitis C virus subtype 3a_AB691596,AB691596	
Hepacivirus hominis_JX014307,JX014307	
Hepatitis C virus subtype 1b_AB691953,AB691953	
Hepatitis C virus subtype 2a_AB690460,AB690460	
Hepatitis C virus subtype 2a_AB690461,AB690461	
Hepacivirus hominis_JF735110,JF735110	
Hepacivirus hominis_JF735111,JF735111	
Hepacivirus hominis_JF735112,JF735112	
Hepacivirus hominis_JF735113,JF735113	
Hepacivirus hominis_JF735114,JF735114	
Hepacivirus hominis_JF735115,JF735115	
Hepacivirus hominis_JF735116,JF735116	
Hepacivirus hominis_JF735117,JF735117	
Hepacivirus hominis_JF735118,JF735118	
Hepacivirus hominis_JF735119,JF735119	
Hepacivirus hominis_JF735120,JF735120	
Hepatitis C virus subtype 3a_JQ717254,JQ717254	
Hepatitis C virus subtype 3a_JQ717255,JQ717255	
Hepatitis C virus subtype 3a_JQ717256,JQ717256	
Hepatitis C virus subtype 3a_JQ717257,JQ717257	
Hepatitis C virus subtype 3a_JQ717258,JQ717258	
Hepatitis C virus subtype 3a_JQ717259,JQ717259	
Hepatitis C virus subtype 3a_JQ717260,JQ717260	
Hepatitis C virus genotype 3_JN588558,JN588558	
Hepatitis C virus subtype 3a_GQ275355,GQ275355	
Hepacivirus hominis_HM777359,HM777359	
Hepatitis C virus subtype 1b_GU133617,GU133617	
Hepatitis C virus isolate M2123_AB558135,AB558135	
Hepacivirus hominis_GU294484,GU294484	
hepatitis C virus genotype 1a_EU862828,EU862828	
hepatitis C virus genotype 1a_EU862831,EU862831	
hepatitis C virus genotype 1a_EU862832,EU862832	
hepatitis C virus genotype 1a_EU862834,EU862834	
hepatitis C virus genotype 1a_EU862836,EU862836	
Hepatitis C virus subtype 1b_EU862837,EU862837	
hepatitis C virus genotype 1a_EU862838,EU862838	
hepatitis C virus genotype 1a_EU862839,EU862839	
hepatitis C virus genotype 1a_EU862840,EU862840	
hepatitis C virus genotype 1a_EU862841,EU862841	
Hepacivirus hominis_FJ407092,FJ407092	
Hepatitis C virus strain M21-2k/1b_FJ821465,FJ821465	
hepatitis C virus genotype 1a_AB520610,AB520610	
