taxon,Accession
Human betaherpesvirus 5_KT726949,KT726949
Human betaherpesvirus 5_KP973638,KP973638
Human betaherpesvirus 5_KP745634,KP745634
Cytomegalovirus humanbeta5_OR546126,OR546126
Human betaherpesvirus 5_OQ466311,OQ466311
Human betaherpesvirus 5_KC519320,KC519320
Human betaherpesvirus 5_MW197154,MW197154
Human betaherpesvirus 5_KY490061,KY490061
Human betaherpesvirus 5_KY490073,KY490073
Human betaherpesvirus 5_KP973627,KP973627
Human betaherpesvirus 5_KP745643,KP745643
Human betaherpesvirus 5_KP973639,KP973639
Human betaherpesvirus 5_KY123652,KY123652
Human betaherpesvirus 5_GU179289,GU179289
Human betaherpesvirus 5_KP973636,KP973636
Human betaherpesvirus 5_KP745683,KP745683
Human betaherpesvirus 5_KR534209,KR534209
Human betaherpesvirus 5_KJ361960,KJ361960
Human betaherpesvirus 5_KP745698,KP745698
Human betaherpesvirus 5_KY123649,KY123649
Human betaherpesvirus 5_KJ361950,KJ361950
Human betaherpesvirus 5_KP745674,KP745674
Human betaherpesvirus 5_MT649472,MT649472
Human betaherpesvirus 5_KP745690,KP745690
Human betaherpesvirus 5_KP745715,KP745715
Human betaherpesvirus 5_MT044479,MT044479
Human betaherpesvirus 5_KR534205,KR534205
Human betaherpesvirus 5_MT070140,MT070140
Human betaherpesvirus 5_KP745725,KP745725
Human betaherpesvirus 5_KP973637,KP973637
Human betaherpesvirus 5_KP973631,KP973631
Human betaherpesvirus 5_MT044484,MT044484
Human betaherpesvirus 5_OU342918,OU342918
Human betaherpesvirus 5_KY123651,KY123651
Human betaherpesvirus 5_KP745701,KP745701
Human betaherpesvirus 5_KP745706,KP745706
Human betaherpesvirus 5_KR534201,KR534201
Human betaherpesvirus 5_KP973626,KP973626
Human betaherpesvirus 5_KP745670,KP745670
Human betaherpesvirus 5_KP745633,KP745633
Human betaherpesvirus 5_KX101023,KX101023
Human betaherpesvirus 5_KJ361946,KJ361946
Human betaherpesvirus 5_KJ361968,KJ361968
Human betaherpesvirus 5_KP745688,KP745688
Human betaherpesvirus 5_KP745712,KP745712
Human betaherpesvirus 5_KP745716,KP745716
Human betaherpesvirus 5_KY490074,KY490074
Human betaherpesvirus 5_KP745696,KP745696
Human betaherpesvirus 5_KY490071,KY490071
Human betaherpesvirus 5_MK290744,MK290744
Human betaherpesvirus 5_KP973634,KP973634
Human betaherpesvirus 5_KY490088,KY490088
Human betaherpesvirus 5_MF783090,MF783090
Human betaherpesvirus 5_MF783092,MF783092
Human betaherpesvirus 5_GU937742,GU937742
Human betaherpesvirus 5_OV100762,OV100762
Human betaherpesvirus 5_KP745668,KP745668
Human betaherpesvirus 5_KP973635,KP973635
Human betaherpesvirus 5_KP973632,KP973632
Human betaherpesvirus 5_KP973633,KP973633
Human betaherpesvirus 5_KP745675,KP745675
Human betaherpesvirus 5_KP973640,KP973640
Human betaherpesvirus 5_KJ361962,KJ361962
Human betaherpesvirus 5_KJ361964,KJ361964
Human betaherpesvirus 5_KR534197,KR534197
Human betaherpesvirus 5_MW528464,MW528464
Human betaherpesvirus 5_KY490065,KY490065
Human betaherpesvirus 5_KR534210,KR534210
Human betaherpesvirus 5_OU342917,OU342917
Human betaherpesvirus 5_KP745654,KP745654
Human betaherpesvirus 5_KJ361954,KJ361954
Human betaherpesvirus 5_KP745673,KP745673
Human betaherpesvirus 5_MK290742,MK290742
Human betaherpesvirus 5_KY123650,KY123650
Human betaherpesvirus 5_HQ380895,HQ380895
Human betaherpesvirus 5_OV100760,OV100760
Human betaherpesvirus 5_KJ361953,KJ361953
Human betaherpesvirus 5_KJ361961,KJ361961
Human betaherpesvirus 5_KR534199,KR534199
Human betaherpesvirus 5_KP745671,KP745671
Human betaherpesvirus 5_MT649470,MT649470
Human betaherpesvirus 5_MW197156,MW197156
Human betaherpesvirus 5_MT044477,MT044477
Human betaherpesvirus 5_KP745693,KP745693
Human betaherpesvirus 5_KY123653,KY123653
Human betaherpesvirus 5_KJ361955,KJ361955
Human betaherpesvirus 5_KT959235,KT959235
Human betaherpesvirus 5_KY490066,KY490066
Human betaherpesvirus 5_KP745638,KP745638
Human betaherpesvirus 5_KP745662,KP745662
Human betaherpesvirus 5_KX544832,KX544832
Human betaherpesvirus 5_KJ361947,KJ361947
Cytomegalovirus humanbeta5_OR546130,OR546130
Human betaherpesvirus 5_KY490079,KY490079
Human betaherpesvirus 5_KM192298,KM192298
Human betaherpesvirus 5_MW528459,MW528459
Human betaherpesvirus 5_KP745661,KP745661
Human betaherpesvirus 5_KP745653,KP745653
Human betaherpesvirus 5_KJ361966,KJ361966
Human betaherpesvirus 5_KP745667,KP745667
Human betaherpesvirus 5_MW528460,MW528460
Human betaherpesvirus 5_KC519319,KC519319
Human betaherpesvirus 5_KY490085,KY490085
Human betaherpesvirus 5_KP745640,KP745640
Human betaherpesvirus 5_OU342916,OU342916
Human betaherpesvirus 5_KP745704,KP745704
Human betaherpesvirus 5_KU550090,KU550090
Human betaherpesvirus 5_MT044478,MT044478
Human betaherpesvirus 5_OU342915,OU342915
Human betaherpesvirus 5_KP745726,KP745726
Human betaherpesvirus 5_NC_006273,NC_006273
Human betaherpesvirus 5_AY446894,AY446894
Human betaherpesvirus 5_OK000909,OK000909
Human betaherpesvirus 5_KX544837,KX544837
Human betaherpesvirus 5_MF783091,MF783091
Human betaherpesvirus 5_MF783093,MF783093
Human betaherpesvirus 5_KR534208,KR534208
Human betaherpesvirus 5_OU342911,OU342911
Human betaherpesvirus 5_KY002201,KY002201
Human betaherpesvirus 5_KF021605,KF021605
Human betaherpesvirus 5_KY490080,KY490080
Human betaherpesvirus 5_KJ361967,KJ361967
Human betaherpesvirus 5_JX512201,JX512201
Human betaherpesvirus 5_GQ466044,GQ466044
Human betaherpesvirus 5_KP745677,KP745677
Human betaherpesvirus 5_GU179288,GU179288
Human betaherpesvirus 5_KR534196,KR534196
Human betaherpesvirus 5_KP745657,KP745657
Human betaherpesvirus 5_KP745722,KP745722
Human betaherpesvirus 5_KY490068,KY490068
Human betaherpesvirus 5_JX512208,JX512208
Human betaherpesvirus 5_KC519322,KC519322
Human betaherpesvirus 5_MT044482,MT044482
Human betaherpesvirus 5_KP745659,KP745659
Human betaherpesvirus 5_GQ396663,GQ396663
Human betaherpesvirus 5_KP745669,KP745669
Human betaherpesvirus 5_MT044481,MT044481
Human betaherpesvirus 5_KT726950,KT726950
Human betaherpesvirus 5_KP745679,KP745679
Human betaherpesvirus 5_KP745711,KP745711
Human betaherpesvirus 5_KP745709,KP745709
Human betaherpesvirus 5_MT649471,MT649471
Human betaherpesvirus 5_OU342914,OU342914
Human betaherpesvirus 5_KJ361958,KJ361958
Cytomegalovirus humanbeta5_OR546128,OR546128
Macacine betaherpesvirus 3_MZ517253,MZ517253
Human betaherpesvirus 5_KP745705,KP745705
Human betaherpesvirus 5_KR534198,KR534198
Human betaherpesvirus 5_KY490076,KY490076
Human betaherpesvirus 5_MT044480,MT044480
Human betaherpesvirus 5_KR534213,KR534213
Human betaherpesvirus 5_KT726951,KT726951
Human betaherpesvirus 5_KP745700,KP745700
Human betaherpesvirus 5_KP745652,KP745652
Human betaherpesvirus 5_JX512205,JX512205
Human betaherpesvirus 5_KJ361959,KJ361959
Human betaherpesvirus 5_OV100763,OV100763
Human betaherpesvirus 5_KY490063,KY490063
Human betaherpesvirus 5_KP745689,KP745689
Human betaherpesvirus 5_MW528458,MW528458
Human betaherpesvirus 5_KP745650,KP745650
Human betaherpesvirus 5_KJ361951,KJ361951
Human betaherpesvirus 5_KP745651,KP745651
Human betaherpesvirus 5_KP745727,KP745727
Human betaherpesvirus 5_KR534200,KR534200
Human betaherpesvirus 5_KY490081,KY490081
Human betaherpesvirus 5_KP745641,KP745641
Human betaherpesvirus 5_KY490087,KY490087
Human betaherpesvirus 5_KP745702,KP745702
Human betaherpesvirus 5_MT649469,MT649469
Human betaherpesvirus 5_KR534203,KR534203
Human betaherpesvirus 5_KJ361952,KJ361952
Human betaherpesvirus 5_KP745637,KP745637
Human betaherpesvirus 5_JX512197,JX512197
Cytomegalovirus humanbeta5_OR546129,OR546129
Human betaherpesvirus 5_KP745647,KP745647
Human betaherpesvirus 5_KX101021,KX101021
Human betaherpesvirus 5_KP745646,KP745646
Human betaherpesvirus 5_KP745680,KP745680
Human betaherpesvirus 5_KJ872542,KJ872542
Human betaherpesvirus 5_KJ361969,KJ361969
Human betaherpesvirus 5_KP745678,KP745678
Human betaherpesvirus 5_KP745720,KP745720
Human betaherpesvirus 5_KP745719,KP745719
Human betaherpesvirus 5_KP745665,KP745665
Human betaherpesvirus 5_KY490072,KY490072
Human betaherpesvirus 5_MT044485,MT044485
Human betaherpesvirus 5_KY490075,KY490075
Human betaherpesvirus 5_GU179291,GU179291
Human betaherpesvirus 5_KP745713,KP745713
Human betaherpesvirus 5_KR534211,KR534211
Human betaherpesvirus 5_KP745708,KP745708
Human betaherpesvirus 5_KP745676,KP745676
Human betaherpesvirus 5_KP745686,KP745686
Human betaherpesvirus 5_JX512203,JX512203
Human betaherpesvirus 5_JX512207,JX512207
Human betaherpesvirus 5_KP745644,KP745644
Human betaherpesvirus 5_KP745645,KP745645
Human betaherpesvirus 5_KP745692,KP745692
Human betaherpesvirus 5_KP745666,KP745666
Human betaherpesvirus 5_KP745697,KP745697
Human betaherpesvirus 5_KP745710,KP745710
Human betaherpesvirus 5_GQ396662,GQ396662
Human betaherpesvirus 5_MT044476,MT044476
Human betaherpesvirus 5_KJ426589,KJ426589
Human betaherpesvirus 5_KJ361949,KJ361949
Human betaherpesvirus 5_OU342900,OU342900
Human betaherpesvirus 5_KJ361970,KJ361970
Human betaherpesvirus 5_GQ221973,GQ221973
Human betaherpesvirus 5_KP745682,KP745682
Human betaherpesvirus 5_KJ872539,KJ872539
Human betaherpesvirus 5_MN274568,MN274568
Human betaherpesvirus 5_MT894141,MT894141
Human betaherpesvirus 5_KX101024,KX101024
Human betaherpesvirus 5_KJ872541,KJ872541
Human betaherpesvirus 5_KJ361965,KJ361965
Human betaherpesvirus 5_KP745663,KP745663
Human betaherpesvirus 5_KP745672,KP745672
Human betaherpesvirus 5_KY490069,KY490069
Human betaherpesvirus 5_MK290743,MK290743
Human betaherpesvirus 5_GQ221975,GQ221975
Human betaherpesvirus 5_JX512206,JX512206
Human betaherpesvirus 5_KP745728,KP745728
Human betaherpesvirus 5_MW439038,MW439038
Human betaherpesvirus 5_MW439039,MW439039
Human betaherpesvirus 5_OU342913,OU342913
Human betaherpesvirus 5_KP745655,KP745655
Human betaherpesvirus 5_KP745636,KP745636
Human betaherpesvirus 5_KU550089,KU550089
Human betaherpesvirus 5_MT649473,MT649473
Human betaherpesvirus 5_KF297339,KF297339
Human betaherpesvirus 5_MK422176,MK422176
Human betaherpesvirus 5_GQ121041,GQ121041
Panine betaherpesvirus 2_NC_003521,NC_003521
Panine betaherpesvirus 2_AF480884,AF480884
Human betaherpesvirus 5_GU179001,GU179001
Panine betaherpesvirus 2_MZ151943,MZ151943
Murin cytomegalovirus,GCF_008792765.1
